partNumber,productName,spec,rate,stock,safety,laststock1,laststock2,laststock3,prdictSafety1,prdictSafety2,seasonPart,modelName,recommend,createTime,true_consumption1_x,true_consumption1_y
11001-006027-02,本體-Y軸皮帶本體-02,JTH-行程500-長692,1.0,0.0,0.0,2.0,1.0,11.0,0,6,0,2022-09-13-11-34-33,6,1663040931,0.0,2.0
11002-003390,上蓋-X軸上蓋-寬119-高17,JTH-行程300-長499.7-端距5/5,1.0,0.0,0.0,1.0,0.0,10.0,3,1,0,2022-09-13-11-34-33,4,1663040931,1.0,2.0
11002-003391,上蓋-Y軸上蓋-寬83-高8,JTH-行程300-長469.7-端距8/8,1.0,0.0,0.0,1.0,0.0,20.0,8,1,0,2022-09-13-11-34-33,9,1663040931,2.0,0.0
11002-003392,上蓋-X軸上蓋-寬119-高17,JTH-行程500-長699.7-端距5/5,1.0,0.0,0.0,10.0,3.0,12.0,1,9,0,2022-09-13-11-34-33,10,1663040931,2.0,3.0
11002-003393,上蓋-Y軸上蓋-寬83-高8,JTH-行程500-長669.7-端距8/8,1.0,0.0,0.0,13.0,2.0,10.0,3,9,0,2022-09-13-11-34-33,12,1663040931,0.0,3.0
11002-003395,上蓋-X軸上蓋-寬119-高17,JTH-行程400-長599.7-端距5/5,1.0,0.0,0.0,10.0,1.0,5.0,2,5,0,2022-09-13-11-34-33,7,1663040931,0.0,1.0
11002-003396,上蓋-Y軸上蓋-寬83-高8,JTH-行程400-長569.7-端距8/8,1.0,0.0,0.0,12.0,1.0,5.0,5,4,0,2022-09-13-11-34-33,9,1663040931,0.0,2.0
11002-003497,上蓋-Y軸上蓋-寬83-高8-開孔,JTH-行程500-長669.7-端距8/8,1.0,0.0,0.0,3.0,2.0,10.0,0,6,0,2022-09-13-11-34-33,6,1663040931,0.0,1.0
11002-003499,上蓋-Y軸上蓋-寬83-高8-開孔,JTH-行程400-長569.7-端距8/8,1.0,0.0,0.0,8.0,1.0,5.0,0,6,0,2022-09-13-11-34-33,6,1663040931,0.0,1.0
11003-000297-04,滑座-配合THK滑塊-04,ETB17M-標準型-169*152*54.5,1.0,246.0,200.0,21.0,52.0,35.0,36,36,0,2022-09-13-11-34-33,72,1663040931,29.0,39.0
11003-000300-04,滑座-配合THK滑塊-04,ETB14M-注油型-140*134*54.5,1.0,37.0,11.0,2.0,8.0,3.0,3,1,0,2022-09-13-11-34-33,4,1663040931,0.0,3.0
11003-000332-04,滑座-無塵式-配合THK滑塊-04,ECH14滑座-PCD38*4-M5,1.0,114.0,168.0,72.0,75.0,100.0,74,72,0,2022-09-13-11-34-33,146,1663040931,67.0,64.0
